from_library,to_library,count,daily_average
BLV,SKC,33,0.515625
BLV,SMB,30,0.46875
BLV,STO,109,1.703125
BLV,STP,87,1.359375
BLV,SUN,266,4.15625
BLV,VER,331,5.171875
BLV,WAU,262,4.09375
BLV,WID,38,0.59375
BLV,WYO,0,0
BLV,ZZZ,9,0.140625
BLV,UNDEF,0,0
BRD,ACL,21,0.328125
BRD,ALM,5,0.078125
BRD,ARP,8,0.125
BRD,BAR,265,4.140625
BRD,BER,7,0.109375
BRD,BLV,40,0.625
BRD,BRD,6541,102.203125
BRD,CBR,17,0.265625
BRD,CIA,7,0.109375
BRD,COL,72,1.125
BRD,CSP,26,0.40625
BRD,DCL,34,0.53125
BRD,DEE,29,0.453125
BRD,DFT,73,1.140625
BRD,FCH,134,2.09375
BRD,HAW,72,1.125
BRD,HPB,147,2.296875
BRD,LAK,113,1.765625
BRD,LAV,17,0.265625
BRD,LDI,97,1.515625
BRD,MAD,101,1.578125
BRD,MAR,16,0.25
BRD,MAZ,18,0.28125
BRD,MCF,76,1.1875
BRD,MCM,84,1.3125
BRD,MEA,71,1.109375
BRD,MFD,2,0.03125
BRD,MID,233,3.640625
BRD,MNT,77,1.203125
BRD,MOO,85,1.328125
BRD,MRO,391,6.109375
BRD,MRS,1,0.015625
BRD,MSB,116,1.8125
BRD,MTH,78,1.21875
BRD,NEK,8,0.125
BRD,NGL,241,3.765625
BRD,NOF,13,0.203125
BRD,ORE,90,1.40625
BRD,PAR,19,0.296875
BRD,PDS,141,2.203125
BRD,PIN,196,3.0625
BRD,PLA,25,0.390625
BRD,PLO,23,0.359375
BRD,POR,110,1.71875
BRD,POY,57,0.890625
BRD,RAN,11,0.171875
BRD,REE,227,3.546875
BRD,RIO,9,0.140625
BRD,RKS,6,0.09375
BRD,ROM,12,0.1875
BRD,ROS,12,0.1875
BRD,SCA,1,0.015625
BRD,SCL,0,0
BRD,SEQ,265,4.140625
BRD,SGR,78,1.21875
BRD,SKC,97,1.515625
BRD,SMB,38,0.59375
BRD,STO,78,1.21875
BRD,STP,65,1.015625
BRD,SUN,218,3.40625
BRD,VER,266,4.15625
BRD,WAU,131,2.046875
BRD,WID,55,0.859375
BRD,WYO,2,0.03125
BRD,ZZZ,7,0.109375
BRD,UNDEF,0,0
CBR,ACL,30,0.46875
CBR,ALM,1,0.015625
CBR,ARP,14,0.21875
CBR,BAR,87,1.359375
CBR,BER,73,1.140625
CBR,BLV,122,1.90625
CBR,BRD,26,0.40625
CBR,CBR,6253,97.703125
CBR,CIA,8,0.125
CBR,COL,30,0.46875
CBR,CSP,95,1.484375
CBR,DCL,120,1.875
CBR,DEE,313,4.890625
CBR,DFT,230,3.59375
CBR,FCH,537,8.390625
CBR,HAW,136,2.125
CBR,HPB,204,3.1875
CBR,LAK,165,2.578125
CBR,LAV,7,0.109375
CBR,LDI,53,0.828125
CBR,MAD,181,2.828125
CBR,MAR,39,0.609375
CBR,MAZ,211,3.296875
CBR,MCF,221,3.453125
CBR,MCM,130,2.03125
CBR,MEA,128,2
CBR,MFD,13,0.203125
CBR,MID,499,7.796875
CBR,MNT,5,0.078125
CBR,MOO,158,2.46875
CBR,MRO,82,1.28125
CBR,MRS,3,0.046875
CBR,MSB,56,0.875
CBR,MTH,136,2.125
CBR,NEK,7,0.109375
CBR,NGL,36,0.5625
CBR,NOF,4,0.0625
CBR,ORE,293,4.578125
CBR,PAR,11,0.171875
CBR,PDS,51,0.796875
CBR,PIN,318,4.96875
CBR,PLA,14,0.21875
CBR,PLO,59,0.921875
CBR,POR,31,0.484375
CBR,POY,28,0.4375
CBR,RAN,12,0.1875
CBR,REE,47,0.734375
CBR,RIO,1,0.015625
CBR,RKS,2,0.03125
CBR,ROM,16,0.25
CBR,ROS,13,0.203125
CBR,SCA,0,0
CBR,SCL,0,0
CBR,SEQ,382,5.96875
CBR,SGR,28,0.4375
CBR,SKC,41,0.640625
CBR,SMB,65,1.015625
CBR,STO,185,2.890625
CBR,STP,137,2.140625
CBR,SUN,482,7.53125
CBR,VER,462,7.21875
CBR,WAU,437,6.828125
CBR,WID,39,0.609375
CBR,WYO,0,0
CBR,ZZZ,5,0.078125
CBR,UNDEF,0,0
CIA,ACL,5,0.078125
CIA,ALM,1,0.015625
CIA,ARP,0,0
CIA,BAR,22,0.34375
CIA,BER,1,0.015625
CIA,BLV,9,0.140625
CIA,BRD,4,0.0625
CIA,CBR,15,0.234375
CIA,CIA,1632,25.5
CIA,COL,89,1.390625
CIA,CSP,17,0.265625
CIA,DCL,6,0.09375
CIA,DEE,13,0.203125
CIA,DFT,15,0.234375
CIA,FCH,42,0.65625
CIA,HAW,26,0.40625
CIA,HPB,46,0.71875
CIA,LAK,45,0.703125
CIA,LAV,0,0
CIA,LDI,57,0.890625
CIA,MAD,41,0.640625
CIA,MAR,9,0.140625
